Код;Название тарифа;Режим доставки*;Ограни-чение по весу;Группа услуг;Описание
7;Международный экспресс документы дверь-дверь;дверь-дверь (Д-Д);до 1,5 кг.;Международная доставка;Экспресс-доставка за/из-за границы документов и писем.
8;Международный экспресс грузы дверь-дверь;дверь-дверь (Д-Д);от 0,5 до 30 кг.;Международная доставка;Экспресс-доставка за/из-за границы грузов и посылок от 0,5 кг до 30 кг..
180;Международный экспресс грузы дверь-склад;дверь-склад (Д-С);от 0,5 до 30 кг.;Международная доставка;Экспресс-доставка за/из-за границы грузов и посылок от 0,5 кг до 30 кг..
183;Международный экспресс документы дверь-склад;дверь-склад (Д-С);до 1,5 кг.;Международная доставка;Экспресс-доставка за/из-за границы документов и писем.
161;Международный экспресс Внуково VKO дверь-дверь;дверь-дверь (Д-Д);;Международная доставка;Доставка через аэропорт Внуково  г. Москва
164;Международный экспресс Внуково VKO дверь-склад;дверь-склад (Д-С);;Международная доставка;Доставка через аэропорт Внуково  г. Москва
166;Международный экспресс Кольцово SVX дверь-дверь;дверь-дверь (Д-Д);;Международная доставка;Доставка через аэропорт Кольцово  г. Екатеринбург
169;Международный экспресс Кольцово SVX дверь-склад;дверь-склад (Д-С);;Международная доставка;Доставка через аэропорт Кольцово  г. Екатеринбург
170;Международный экспресс Толмачево OVB дверь-дверь;дверь-дверь (Д-Д);;Международная доставка;Доставка через аэропорт Толмачево  г. Новосибирск
173;Международный экспресс Толмачево OVB дверь-склад;дверь-склад (Д-С);;Международная доставка;Доставка через аэропорт Толмачево  г. Новосибирск
174;Международный экспресс Кневичи VVO дверь-дверь;дверь-дверь (Д-Д);;Международная доставка;Доставка через аэропорт Кневичи  г. Владивосток
177;Международный экспресс Кневичи VVO дверь-склад;дверь-склад (Д-С);;Международная доставка;Доставка через аэропорт Кневичи  г. Владивосток
184;Международный экономичный экспресс дверь-дверь;дверь-дверь (Д-Д);;Международная доставка;Доставка морем
185;Международный экономичный экспресс дверь-склад;дверь-склад (Д-С);;Международная доставка;Доставка морем
